Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,11264,2021-11-15,-0.030194963,0.0133338843,-0.014801534,21,100
Market-Adjusted Model,11267,2021-11-15,-0.066931282,-0.026435863,-0.051537853,21,100
Market-Adjusted Model,11275,2021-11-15,0.3815261191,0.3923967874,0.3969195476,21,100
Market-Adjusted Model,11285,2021-11-15,-0.082197431,-0.067336878,-0.066804003,21,100
Market-Adjusted Model,11292,2021-11-15,0.0147727426,0.0338390918,0.0301661711,21,100
Market-Adjusted Model,11293,2021-11-15,-0.063848181,-0.04737122,-0.048454753,21,100
Market-Adjusted Model,11308,2021-11-15,-0.062089732,-0.047931263,-0.046696303,21,100
Market-Adjusted Model,11343,2021-11-15,-0.008814981,0.0061274051,0.0065784474,21,100
Market-Adjusted Model,11348,2021-11-15,0.0011289384,-0.019470399,-0.019523442,10,100
Market-Adjusted Model,11368,2021-11-15,-0.036859566,-0.014285823,-0.021466137,21,100
Market-Adjusted Model,11369,2021-11-15,-0.034063316,-0.015205156,-0.018669888,21,100
Market-Adjusted Model,11370,2021-11-15,-0.081796429,-0.068497529,-0.066403,21,100
Market-Adjusted Model,11394,2021-11-15,-0.161290322,-0.117495649,-0.145896893,21,100
Market-Adjusted Model,11397,2021-11-15,-0.015733636,0.0015589409,-0.000340207,21,100
Market-Adjusted Model,11403,2021-11-15,0.0251285626,0.044868583,0.0405219911,21,100
Market-Adjusted Model,11404,2021-11-15,0.0400026166,0.0557817179,0.0553960451,21,100
Market-Adjusted Model,11407,2021-11-15,0.0117505625,0.0296918718,0.027143991,21,100
Market-Adjusted Model,11442,2021-11-15,-0.014073922,0.0032719879,0.0013195062,21,100
Market-Adjusted Model,11481,2021-11-15,-0.066290819,-0.037169529,-0.050897391,21,100
Market-Adjusted Model,11499,2021-11-15,-0.138081431,-0.123415055,-0.122688003,21,100
Market-Adjusted Model,11511,2021-11-15,-0.24550902,-0.241557046,-0.230115591,21,100
Market-Adjusted Model,11533,2021-11-15,-0.113184344,-0.099357807,-0.097790915,21,100
Market-Adjusted Model,11547,2021-11-15,-0.1013125,-0.088222498,-0.085919071,21,100
Market-Adjusted Model,11565,2021-11-15,0.0173046622,0.0345460032,0.0326980908,21,100
Market-Adjusted Model,11581,2021-11-15,0.0105314133,0.0284906228,0.0259248418,21,100
Market-Adjusted Model,11587,2021-11-15,-0.022060454,-0.004064237,-0.006667025,21,100
Market-Adjusted Model,11593,2021-11-15,0.0056625342,0.0250336957,0.0210559627,21,100
Market-Adjusted Model,11600,2021-11-15,-0.148051,-0.140957724,-0.132657572,21,100
Market-Adjusted Model,11618,2021-11-15,0.0366152117,0.0520002037,0.0520086402,21,100
Market-Adjusted Model,11628,2021-11-15,-0.017187906,0.000772719,-0.001794478,21,100
Market-Adjusted Model,11636,2021-11-15,-0.141689415,-0.124089114,-0.126295986,21,100
Market-Adjusted Model,11644,2021-11-15,-0.180344456,-0.171719186,-0.164951028,21,100
Market-Adjusted Model,11654,2021-11-15,0.0261904726,0.0447980683,0.0415839011,21,100
Market-Adjusted Model,11664,2021-11-15,-0.152502339,-0.145042098,-0.13710891,21,100
Market-Adjusted Model,11674,2021-11-15,-0.044199401,-0.02938952,-0.028805973,21,100
Market-Adjusted Model,11691,2021-11-15,-0.017820059,0.0019853548,-0.00242663,21,100
Market-Adjusted Model,11701,2021-11-15,0.1096978757,0.1223728768,0.1250913042,21,100
Market-Adjusted Model,11731,2021-11-15,0.0034717748,0.0224533502,0.0188652033,21,100
Market-Adjusted Model,11748,2021-11-15,-0.091103122,-0.071593261,-0.075709694,21,100
Market-Adjusted Model,11752,2021-11-15,0.0333829187,0.0495507163,0.0487763472,21,100
Market-Adjusted Model,11762,2021-11-15,-0.012037976,0.0049751602,0.0033554526,21,100
Market-Adjusted Model,11775,2021-11-15,-0.020154447,-0.002589379,-0.004761019,21,100
Market-Adjusted Model,11786,2021-11-15,-0.034945644,-0.017785621,-0.019552216,21,100
Market-Adjusted Model,11790,2021-11-15,-0.021910077,-0.005805877,-0.006516649,21,100
Market-Adjusted Model,11803,2021-11-15,-0.0902815,-0.074037122,-0.074888072,21,100
Market-Adjusted Model,11809,2021-11-15,-0.098631586,-0.081572198,-0.083238158,21,100
Market-Adjusted Model,11825,2021-11-15,0.0332855183,0.0540522234,0.0486789468,21,100
Market-Adjusted Model,11844,2021-11-15,-0.038461543,-0.021718073,-0.023068114,21,100
Market-Adjusted Model,11845,2021-11-15,-0.037313391,-0.020692805,-0.021919962,21,100
Market-Adjusted Model,11850,2021-11-15,-0.059091614,-0.042558671,-0.043698186,21,100
Market-Adjusted Model,11884,2021-11-15,-0.049253038,-0.031806285,-0.033859609,21,100
Market-Adjusted Model,11891,2021-11-15,-0.160729393,-0.153348589,-0.145335965,21,100
Market-Adjusted Model,11955,2021-11-15,0.0027460667,0.0190859844,0.0181394952,21,100
Market-Adjusted Model,11990,2021-11-15,-0.06380031,-0.045971052,-0.048406882,21,100
Market-Adjusted Model,11995,2021-11-15,0.4214499636,0.3797281239,0.4368433921,21,100
Market-Adjusted Model,11996,2021-11-15,-0.027760133,-0.013114344,-0.012366704,21,100
Market-Adjusted Model,12008,2021-11-15,0.1770335604,0.1996210872,0.1924269889,21,100
Market-Adjusted Model,12009,2021-11-15,0.0203045513,0.0464166817,0.0356979798,21,100
Market-Adjusted Model,12015,2021-11-15,-0.042056792,-0.025337562,-0.026663364,21,100
Market-Adjusted Model,12017,2021-11-15,0.3458645936,0.3301782641,0.3612580221,21,100
Market-Adjusted Model,12034,2021-11-15,-0.009929101,0.00545464,0.0054643273,21,100
Market-Adjusted Model,12035,2021-11-15,-0.076621362,-0.062792221,-0.061227933,21,100
Market-Adjusted Model,12036,2021-11-15,0.0384818293,0.0553726986,0.0538752578,21,100
Market-Adjusted Model,12039,2021-11-15,0.0008960559,0.0163211131,0.0162894844,21,100
Market-Adjusted Model,12049,2021-11-15,0.0434782146,0.068162472,0.0588716431,21,100
Market-Adjusted Model,12052,2021-11-15,-0.067965469,-0.054096371,-0.05257204,21,100
Market-Adjusted Model,12054,2021-11-15,-0.024625704,-0.009149982,-0.009232275,21,100
Market-Adjusted Model,12059,2021-11-15,0.0045390119,0.0194298525,0.0199324404,21,100
Market-Adjusted Model,12060,2021-11-15,-0.094211929,-0.080287882,-0.0788185,21,100
Market-Adjusted Model,12062,2021-11-15,-0.005888099,0.0125216522,0.0095053292,21,100
Market-Adjusted Model,12064,2021-11-15,-0.000529044,0.0142790713,0.0148643847,21,100
Market-Adjusted Model,12065,2021-11-15,0.0078925009,0.0227951947,0.0232859294,21,100
Market-Adjusted Model,12066,2021-11-15,-0.072360886,-0.058007708,-0.056967458,21,100
Market-Adjusted Model,12068,2021-11-15,0.0339578393,0.0512367534,0.0493512678,21,100
Market-Adjusted Model,12070,2021-11-15,0.0125721436,0.029891969,0.0279655721,21,100
Market-Adjusted Model,12073,2021-11-15,-0.00583422,0.0141454353,0.0095592088,21,100
Market-Adjusted Model,12075,2021-11-15,-0.029054463,-0.014467154,-0.013661035,21,100
Market-Adjusted Model,12076,2021-11-15,0.0892576683,0.1115558869,0.1046510968,21,100
Market-Adjusted Model,12078,2021-11-15,0.0947177578,0.1107854151,0.1101111863,21,100
Market-Adjusted Model,12082,2021-11-15,-0.231133554,-0.233158951,-0.215740126,21,100
Market-Adjusted Model,12084,2021-11-15,0.1120183155,0.1259898336,0.127411744,21,100
Market-Adjusted Model,12093,2021-11-15,0.2006878766,0.2001839481,0.2160813052,21,100
Market-Adjusted Model,12098,2021-11-15,-0.035979666,-0.020440048,-0.020586238,21,100
Market-Adjusted Model,12103,2021-11-15,-0.028529575,-0.014036568,-0.013136146,21,100
Market-Adjusted Model,12105,2021-11-15,-0.081296968,-0.068821545,-0.065903539,21,100
Market-Adjusted Model,12109,2021-11-15,-0.033015395,-0.011527109,-0.017621966,21,100
Market-Adjusted Model,12146,2021-11-15,-0.189355202,-0.182234455,-0.173961774,21,100
Market-Adjusted Model,12166,2021-11-15,0.0903226515,0.1103496181,0.10571608,21,100
Market-Adjusted Model,12189,2021-11-15,0.0812756514,0.0959212231,0.0966690799,21,100
Market-Adjusted Model,12209,2021-11-15,-0.049632349,-0.031484086,-0.034238921,21,100
Market-Adjusted Model,12211,2021-11-15,0.0010479626,0.0199704816,0.0164413911,21,100
